player,playerLabel,sitelinks
http://www.wikidata.org/entity/Q720906,Valdemaras Chomičius,23
http://www.wikidata.org/entity/Q722629,Gerald Green,23
http://www.wikidata.org/entity/Q1289530,Marty Riessen,23
http://www.wikidata.org/entity/Q1363884,Tyler Zeller,23
http://www.wikidata.org/entity/Q1317442,Eric Bledsoe,23
http://www.wikidata.org/entity/Q461783,Jon Robert Holden,23
http://www.wikidata.org/entity/Q1332856,Joe Bryant,23
http://www.wikidata.org/entity/Q1339658,Jason Thompson,23
http://www.wikidata.org/entity/Q465731,Alba Torrens,23
http://www.wikidata.org/entity/Q497515,Andreas Glyniadakis,23
http://www.wikidata.org/entity/Q502225,Andrey Vorontsevich,23
http://www.wikidata.org/entity/Q2423042,Alexis Ajinça,23
http://www.wikidata.org/entity/Q541911,Maciej Lampe,23
http://www.wikidata.org/entity/Q517058,Marvin Williams,23
http://www.wikidata.org/entity/Q2429069,Trevor Booker,23
http://www.wikidata.org/entity/Q520424,Nick Collison,23
http://www.wikidata.org/entity/Q553497,Jordan Hill,23
http://www.wikidata.org/entity/Q523646,Matt Bonner,23
http://www.wikidata.org/entity/Q2447626,Tyronn Lue,23
http://www.wikidata.org/entity/Q554889,Bo McCalebb,23
http://www.wikidata.org/entity/Q557960,Marko Popović,23
http://www.wikidata.org/entity/Q562471,Carlos Arroyo,23
http://www.wikidata.org/entity/Q562764,Kurt Thomas,23
http://www.wikidata.org/entity/Q573036,Wayne Ellington,23
http://www.wikidata.org/entity/Q2308814,Stacey Augmon,23
http://www.wikidata.org/entity/Q2625050,Terry Dischinger,23
http://www.wikidata.org/entity/Q2629179,Markieff Morris,23
http://www.wikidata.org/entity/Q2634353,Ivo Daneu,23
http://www.wikidata.org/entity/Q2662668,Stefan Marković,23
http://www.wikidata.org/entity/Q2700323,Ognjen Kuzmić,23
http://www.wikidata.org/entity/Q2407571,Cory Joseph,23
http://www.wikidata.org/entity/Q3876517,Nicolás Laprovittola,23
http://www.wikidata.org/entity/Q5140477,Cody Zeller,23
http://www.wikidata.org/entity/Q5256411,Tim Hardaway Jr.,23
http://www.wikidata.org/entity/Q6420456,Klemen Prepelič,23
http://www.wikidata.org/entity/Q18638186,Justise Winslow,23
http://www.wikidata.org/entity/Q17403499,Myles Turner,23
http://www.wikidata.org/entity/Q17465755,Malcolm Brogdon,23
http://www.wikidata.org/entity/Q17513432,Trey Lyles,23
http://www.wikidata.org/entity/Q19310495,Furkan Korkmaz,23
http://www.wikidata.org/entity/Q21294876,Guerschon Yabusele,23
http://www.wikidata.org/entity/Q29048308,Jarrett Allen,23
http://www.wikidata.org/entity/Q23302754,Dillon Brooks,23
http://www.wikidata.org/entity/Q24006239,Malik Beasley,23
http://www.wikidata.org/entity/Q89162230,Josh Giddey,23
http://www.wikidata.org/entity/Q62860683,Tyrese Maxey,23
http://www.wikidata.org/entity/Q63101251,Jackie Young,23
http://www.wikidata.org/entity/Q125498,Tiit Sokk,22
http://www.wikidata.org/entity/Q127125,Mark Price,22
http://www.wikidata.org/entity/Q259401,Alex Groza,22
http://www.wikidata.org/entity/Q264440,Penny Taylor,22
http://www.wikidata.org/entity/Q40657,Terrence Jones,22
http://www.wikidata.org/entity/Q271409,Cynthia Cooper-Dyke,22
http://www.wikidata.org/entity/Q271441,Nancy Lieberman,22
http://www.wikidata.org/entity/Q48845,Jeffery Taylor,22
http://www.wikidata.org/entity/Q585866,Jae Crowder,22
http://www.wikidata.org/entity/Q888594,Bob Knight,22
http://www.wikidata.org/entity/Q898177,Brandon Rush,22
http://www.wikidata.org/entity/Q921511,Jason Smith,22
http://www.wikidata.org/entity/Q291345,DeLisha Milton-Jones,22
http://www.wikidata.org/entity/Q291851,Angel McCoughtry,22
http://www.wikidata.org/entity/Q928064,Wesley Johnson,22
http://www.wikidata.org/entity/Q343341,İbrahim Kutluay,22
http://www.wikidata.org/entity/Q931300,Alec Burks,22
http://www.wikidata.org/entity/Q1649155,Antoine Diot,22
