player,playerLabel,sitelinkCount
http://www.wikidata.org/entity/Q646481,Richie Guerin,16
http://www.wikidata.org/entity/Q645386,Vitaly Potapenko,18
http://www.wikidata.org/entity/Q644762,Dennis Awtrey,11
http://www.wikidata.org/entity/Q311195,Jerry West,52
http://www.wikidata.org/entity/Q310968,Alonzo Mourning,35
http://www.wikidata.org/entity/Q1117547,Mire Chatman,12
http://www.wikidata.org/entity/Q1116536,Sundiata Gaines,13
http://www.wikidata.org/entity/Q1116123,Joey Dorsey,18
http://www.wikidata.org/entity/Q1115784,Lucious Jackson,19
http://www.wikidata.org/entity/Q310411,Carlos Boozer,36
http://www.wikidata.org/entity/Q310281,Elton Brand,35
http://www.wikidata.org/entity/Q310108,Gilbert Arenas,41
http://www.wikidata.org/entity/Q309872,Gary Payton,38
http://www.wikidata.org/entity/Q643076,Arūnas Visockas,11
http://www.wikidata.org/entity/Q642992,Stan Miasek,12
http://www.wikidata.org/entity/Q642529,Hüseyin Beşok,15
http://www.wikidata.org/entity/Q1115192,Laurent Sciarra,17
http://www.wikidata.org/entity/Q1114754,Sasu Salin,21
http://www.wikidata.org/entity/Q1114256,Cole Aldrich,21
http://www.wikidata.org/entity/Q1640979,Andrew Levane,11
http://www.wikidata.org/entity/Q1640858,Tim Breaux,11
http://www.wikidata.org/entity/Q1640832,Herm Schaefer,11
http://www.wikidata.org/entity/Q313622,Dejan Bodiroga,36
http://www.wikidata.org/entity/Q313510,Richard Hamilton,34
http://www.wikidata.org/entity/Q313499,Jermaine O'Neal,34
http://www.wikidata.org/entity/Q729281,Latrell Sprewell,20
http://www.wikidata.org/entity/Q726226,Ronnie Lott,11
http://www.wikidata.org/entity/Q726213,Koko Archibong,12
http://www.wikidata.org/entity/Q726072,Ashley Walker,11
http://www.wikidata.org/entity/Q1132527,Jerome Williams,11
http://www.wikidata.org/entity/Q1132507,Corie Blount,11
http://www.wikidata.org/entity/Q1131535,Bob Gibson,21
http://www.wikidata.org/entity/Q1126347,Connie Hawkins,17
http://www.wikidata.org/entity/Q313488,Michael Redd,34
http://www.wikidata.org/entity/Q313487,Greg Oden,34
http://www.wikidata.org/entity/Q313486,Baron Davis,33
http://www.wikidata.org/entity/Q1638664,Ervin Johnson,11
http://www.wikidata.org/entity/Q659886,Nikola Vučević,31
http://www.wikidata.org/entity/Q659284,John Paxson,16
http://www.wikidata.org/entity/Q659023,Adriana Santos,13
http://www.wikidata.org/entity/Q658347,Maurice Lucas,13
http://www.wikidata.org/entity/Q657876,Benoit Benjamin,12
http://www.wikidata.org/entity/Q725890,Larry Hughes,22
http://www.wikidata.org/entity/Q650683,Archie Clark,11
http://www.wikidata.org/entity/Q650311,Natalie Williams,14
http://www.wikidata.org/entity/Q649604,Bob Kurland,20
http://www.wikidata.org/entity/Q649548,Jerome James,11
http://www.wikidata.org/entity/Q313485,Brandon Roy,34
http://www.wikidata.org/entity/Q313481,Dikembe Mutombo,45
http://www.wikidata.org/entity/Q1125913,Kevin Magee,13
http://www.wikidata.org/entity/Q313479,Manute Bol,36
http://www.wikidata.org/entity/Q313473,Earl Boykins,31
http://www.wikidata.org/entity/Q313389,Serge Ibaka,41
http://www.wikidata.org/entity/Q657082,Duško Ivanović,21
http://www.wikidata.org/entity/Q656580,Thomas Kelati,11
http://www.wikidata.org/entity/Q656414,Luke Babbitt,20
http://www.wikidata.org/entity/Q313045,Jordan Farmar,29
http://www.wikidata.org/entity/Q312651,Rudy Fernández,35
http://www.wikidata.org/entity/Q312648,Jason Terry,30
http://www.wikidata.org/entity/Q309783,Blake Griffin,46
http://www.wikidata.org/entity/Q309590,Jeremy Lin,45
http://www.wikidata.org/entity/Q306872,Abby Bishop,21
http://www.wikidata.org/entity/Q306553,Bruce Bowen,23
http://www.wikidata.org/entity/Q247487,Drew Gordon,14
http://www.wikidata.org/entity/Q305510,Nenad Krstić,26
http://www.wikidata.org/entity/Q304473,Solomon Jones,12
http://www.wikidata.org/entity/Q304349,Keyon Dooling,15
http://www.wikidata.org/entity/Q641523,Predrag Drobnjak,16
http://www.wikidata.org/entity/Q641041,Darrell Armstrong,20
http://www.wikidata.org/entity/Q245990,Bogdan Bogdanović,32
http://www.wikidata.org/entity/Q245948,Mateusz Ponitka,19
http://www.wikidata.org/entity/Q181491,Krešimir Lončar,20
http://www.wikidata.org/entity/Q180860,Pervis Ellison,19
http://www.wikidata.org/entity/Q179906,DeMarre Carroll,23
http://www.wikidata.org/entity/Q302068,Aaron Gray,15
http://www.wikidata.org/entity/Q301863,Mark Blount,15
http://www.wikidata.org/entity/Q301757,Aaron Brooks,25
http://www.wikidata.org/entity/Q299943,Renee Montgomery,12
http://www.wikidata.org/entity/Q640253,Antonio Daniels,17
http://www.wikidata.org/entity/Q639541,Sammy Mejía,14
http://www.wikidata.org/entity/Q639025,Reggie Williams,17
http://www.wikidata.org/entity/Q638486,Jeremy Pargo,17
http://www.wikidata.org/entity/Q637382,Jeff Mullins,16
http://www.wikidata.org/entity/Q245222,Toni Kukoč,45
http://www.wikidata.org/entity/Q242278,Candace Parker,31
http://www.wikidata.org/entity/Q177928,Sidney Moncrief,21
http://www.wikidata.org/entity/Q177151,Dimos Dikoudis,15
http://www.wikidata.org/entity/Q635785,Erin Phillips,19
http://www.wikidata.org/entity/Q634812,Rodney Rogers,13
http://www.wikidata.org/entity/Q633882,Robyn Maher,15
http://www.wikidata.org/entity/Q633649,René Chocat,14
http://www.wikidata.org/entity/Q298981,Hidayet Türkoğlu,43
http://www.wikidata.org/entity/Q298531,Chauncey Billups,43
http://www.wikidata.org/entity/Q71127,John Havlicek,42
http://www.wikidata.org/entity/Q242185,Bill Russell,64
http://www.wikidata.org/entity/Q242150,Helen Stephens,27
http://www.wikidata.org/entity/Q241261,Vince Carter,43
http://www.wikidata.org/entity/Q298512,Isiah Thomas,43
http://www.wikidata.org/entity/Q298496,Deron Williams,38
http://www.wikidata.org/entity/Q297750,Arvydas Sabonis,52
http://www.wikidata.org/entity/Q176479,Andrés Mazali,25
http://www.wikidata.org/entity/Q176263,Chuck Daly,26
http://www.wikidata.org/entity/Q175451,Jure Zdovc,25
http://www.wikidata.org/entity/Q175441,Rashard Lewis,29
http://www.wikidata.org/entity/Q240741,Teresa Edwards,25
http://www.wikidata.org/entity/Q240726,Diana Taurasi,35
http://www.wikidata.org/entity/Q240690,Becky Hammon,30
http://www.wikidata.org/entity/Q70698,Uwe Blab,13
http://www.wikidata.org/entity/Q70486,Tim Ohlbrecht,11
